pair,timestamp,bid,ask,last_trade,rolling_24_hour_volume,status,client_timestamp
"XBTZAR",1641502773557,"697516.00000000","697517.00000000","697710.00000000","313.00510700","ACTIVE",1641502773557
"XBTZAR",1641502933453,"697264.00000000","698378.00000000","697436.00000000","310.51685600","ACTIVE",1641502933453
"XBTZAR",1641503792792,"695795.00000000","696973.00000000","696977.00000000","307.18355700","ACTIVE",1641503792792
"XBTZAR",1641503813260,"695829.00000000","696948.00000000","696951.00000000","307.18355700","ACTIVE",1641503813260
"XBTZAR",1641503877295,"696461.00000000","696999.00000000","696500.00000000","307.18355700","ACTIVE",1641503877295
"XBTZAR",1641504371734,"695522.00000000","696569.00000000","695517.00000000","306.48930200","ACTIVE",1641504371734
"XBTZAR",1641504422105,"695526.00000000","696456.00000000","695517.00000000","306.48930200","ACTIVE",1641504422105
"XBTZAR",1641505508632,"696280.00000000","697402.00000000","695170.00000000","301.12851000","ACTIVE",1641505508632
"XBTZAR",1641506407638,"694822.00000000","695750.00000000","695545.00000000","297.57005900","ACTIVE",1641506407638
"XBTZAR",1641507309123,"694000.00000000","694292.00000000","694291.00000000","292.90264800","ACTIVE",1641507309123
"XBTZAR",1641508208838,"694915.00000000","695634.00000000","697193.00000000","289.02081700","ACTIVE",1641508208838
"XBTZAR",1641509107207,"694370.00000000","695873.00000000","695901.00000000","272.41712000","ACTIVE",1641509107207
"XBTZAR",1641510007497,"695042.00000000","695466.00000000","695041.00000000","271.48552000","ACTIVE",1641510007497
"XBTZAR",1641510907367,"693835.00000000","693969.00000000","693969.00000000","267.07294100","ACTIVE",1641510907367
"XBTZAR",1641511807181,"693353.00000000","694436.00000000","693266.00000000","266.03635300","ACTIVE",1641511807181
"XBTZAR",1641512707523,"694312.00000000","694313.00000000","694715.00000000","265.08201100","ACTIVE",1641512707523
"XBTZAR",1641513607454,"693000.00000000","693842.00000000","693004.00000000","264.23520400","ACTIVE",1641513607454
"XBTZAR",1641514506434,"692112.00000000","692987.00000000","692111.00000000","264.09170000","ACTIVE",1641514506434
"XBTZAR",1641515406969,"692092.00000000","693328.00000000","692073.00000000","263.97232100","ACTIVE",1641515406969
"XBTZAR",1641516307772,"690448.00000000","690980.00000000","690993.00000000","264.83629300","ACTIVE",1641516307772
"XBTZAR",1641517207160,"690426.00000000","691464.00000000","690425.00000000","265.30268800","ACTIVE",1641517207160
"XBTZAR",1641518107466,"691595.00000000","692356.00000000","691005.00000000","265.60034900","ACTIVE",1641518107466
"XBTZAR",1641519007412,"691761.00000000","692218.00000000","691813.00000000","265.07003300","ACTIVE",1641519007412
"XBTZAR",1641519906577,"691405.00000000","691983.00000000","691400.00000000","265.30988300","ACTIVE",1641519906577
"XBTZAR",1641520806997,"692331.00000000","692893.00000000","692345.00000000","264.09686700","ACTIVE",1641520806997
"XBTZAR",1641521707647,"690318.00000000","690682.00000000","690300.00000000","263.79555500","ACTIVE",1641521707647
"XBTZAR",1641522606940,"690539.00000000","691481.00000000","690521.00000000","261.94600500","ACTIVE",1641522606940
"XBTZAR",1641523507455,"690200.00000000","690201.00000000","690200.00000000","261.75275100","ACTIVE",1641523507455
"XBTZAR",1641524406961,"690100.00000000","690332.00000000","690100.00000000","260.94481300","ACTIVE",1641524406961
"XBTZAR",1641525307131,"689263.00000000","691499.00000000","689954.00000000","258.94016600","ACTIVE",1641525307131
"XBTZAR",1641526207492,"681571.00000000","684631.00000000","682595.00000000","262.46315100","ACTIVE",1641526207492
"XBTZAR",1641527106945,"675289.00000000","676627.00000000","675760.00000000","267.80595400","ACTIVE",1641527106945
"XBTZAR",1641528007608,"674672.00000000","675671.00000000","675682.00000000","267.62866200","ACTIVE",1641528007608
"XBTZAR",1641528906974,"673503.00000000","673913.00000000","673501.00000000","266.78760500","ACTIVE",1641528906974
"XBTZAR",1641529806879,"666248.00000000","666992.00000000","667994.00000000","271.50386900","ACTIVE",1641529806879
