usdzar,client_timestamp
"15.754322",1641503579163
"15.754322",1641503791898
"15.754322",1641503813165
"15.754322",1641503876645
"15.754322",1641504370949
"15.754322",1641504421196
"15.754322",1641505506974
"15.754322",1641506406904
"15.754322",1641507308105
"15.754322",1641508208104
"15.754322",1641509106331
"15.754322",1641510006785
"15.754322",1641510906470
"15.754322",1641511806461
"15.754322",1641512706809
"15.754322",1641513606722
"15.754322",1641514505708
"15.754322",1641515406098
"15.754322",1641516306887
"15.754322",1641517206444
"15.754322",1641518106574
"15.754322",1641519006518
"15.754322",1641519905831
"15.754322",1641520806296
"15.754322",1641521706756
"15.754322",1641522606069
"15.754322",1641523506704
"15.754322",1641524406254
"15.754322",1641525306379
"15.754322",1641526206649
"15.754322",1641527106079
"15.754322",1641528006693
"15.754322",1641528906226
"15.754322",1641529806172
"15.754322",1641530706589
"15.754322",1641531606743
"15.728543",1641532505840
"15.728543",1641533406445
"15.368225",1642175108250
"15.368225",1642176005569
"15.368225",1642176906362
"15.368225",1642177806683
"15.368225",1642178705801
"15.368225",1642179606075
"15.368225",1642180506612
"15.368225",1642181406160
"15.368225",1642182306488
"15.368225",1642183205960
"15.368225",1642184106400
"15.368225",1642185006293
"15.368225",1642185906530
"15.368225",1642186805473
"15.368225",1642187706551
"15.368225",1642188605944
"15.368225",1642189506277
"15.368225",1642190406825
"15.368225",1642191305885
"15.368225",1642192206539
"15.368225",1642193105625
"15.368225",1642194005760
"15.379253",1642194906066
"15.379253",1642195806143
"15.379253",1642196706241
"15.379253",1642197607304
"15.379253",1642198506194
"15.379253",1642199406115
"15.379253",1642200306142
"15.379253",1642201206553
"15.379253",1642202106506
"15.379253",1642203005778
"15.379253",1642203905679
"15.379253",1642204805936
"15.379253",1642205705775
"15.379253",1642206606524
"15.379253",1642207506357
"15.379253",1642208406362
"15.379253",1642209306208
"15.379253",1642210206336
"15.379253",1642211106436
"15.379253",1642212006571
"15.379253",1642212906344
"15.379253",1642213806100
"15.379253",1642214706344
"15.379253",1642215606330
"15.379253",1642216506323
"15.379253",1642217406403
"15.379253",1642218306395
"15.379253",1642219206613
"15.379253",1642220106457
"15.379253",1642221006561
"15.379253",1642221906515
"15.379253",1642222805794
"15.375002",1642223706002
"15.375002",1642224606122
"15.375002",1642225506108
"15.375002",1642226406028
"15.375002",1642227305748
"15.375002",1642228205973
"15.375002",1642229106616
"15.375002",1642230006183
"15.375002",1642230906002
"15.375002",1642231806134
"15.375002",1642232706120
"15.375002",1642233606211
"15.375002",1642234506256
"15.375002",1642235406546
"15.375002",1642236306371
"15.375002",1642237206250
"15.375002",1642238106191
"15.375002",1642239006443
"15.375002",1642239906604
"15.375002",1642240805883
"15.375002",1642241705931
"15.375002",1642242605899
"15.375002",1642243506259
"15.375002",1642244406304
"15.375002",1642245306333
"15.375002",1642246206396
"15.375002",1642247106492
"15.375002",1642248006478
"15.375002",1642248905673
"15.375002",1642249805686
"15.375002",1642250705666
"15.375002",1642251605525
"15.378549",1642252505869
"15.378549",1642253405967
"15.378549",1642254306014
"15.378549",1642255206050
"15.378549",1642256106245
"15.378549",1642257006527
"15.378549",1642257909456
"15.378549",1642258806529
"15.378549",1642259705958
"15.378549",1642260608353
"15.378549",1642261506372
"15.378549",1642262406215
"15.378549",1642263306469
"15.378549",1642264205846
"15.378549",1642265105750
"15.378549",1642266005752
"15.378549",1642266905876
"15.378549",1642267805820
"15.378549",1642268705602
"15.378549",1642269606679
"15.378549",1642270505637
"15.378549",1642271406604
"15.378549",1642272305648
"15.378549",1642274105739
"15.378549",1642275006085
"15.378549",1642275906170
"15.378549",1642276806318
"15.378549",1642277706264
"15.378549",1642278606515
"15.378549",1642279505793
"15.378549",1642280405895
"15.380012",1642281305995
"15.380012",1642282206128
"15.380012",1642283106177
"15.380012",1642284006297
"15.380012",1642284906544
"15.380012",1642285806470
"15.380012",1642286706371
"15.380012",1642287606260
"15.380012",1642288506216
"15.380012",1642289406031
"15.380012",1642290306041
"15.380012",1642291206070
"15.380012",1642292106100
"15.380012",1642293006129
"15.380012",1642293906064
"15.380012",1642294805718
"15.380012",1642295705677
"15.380012",1642296605577
"15.380012",1642297506197
"15.380012",1642298406194
"15.380012",1642299306217
"15.380012",1642300206191
"15.380012",1642301106031
"15.380012",1642302005828
"15.380012",1642302905823
"15.380012",1642303805705
"15.380012",1642304705509
"15.380012",1642305606205
"15.380012",1642306505973
"15.380012",1642307405493
"15.380012",1642308306398
"15.380012",1642309206441
"15.378164",1642310106330
"15.378164",1642311006216
"15.37816",1642347907530
"15.37816",1642348806046
"15.37816",1642349705995
"15.37816",1642350605894
"15.37816",1642351506022
"15.37816",1642352406229
"15.37816",1642353306656
"15.37816",1642354206091
"15.37816",1642355106464
"15.37816",1642356006414
"15.37816",1642356906179
"15.37816",1642357806152
"15.37816",1642358705959
"15.37816",1642359606137
